representation,balanced_accuracy,macro_f1,notes
raw_scaled_features,0.911111,0.910714,train_test_logistic_regression_lightweight_demo
pca_2_components,0.888889,0.887767,train_test_logistic_regression_lightweight_demo
LinDA_2_components_supervised,0.977778,0.977753,train_test_logistic_regression_lightweight_demo
isomap_2_components_visualization,,,generated_for_embedding_preview_not_scored_as_production_pipeline
tSNE_2_components_visualization_only,,,visualization_only_no_stable_transform_for_new_data
